latitude_dd,longitude_dd,vdatum,member_name,site_id,site_no,description,networks,state,county,waterbody,peak_stage,difference,is_peak_stage_estimated,isAbove
31.99174,-80.84691,NAVD88,Eric Frantz,17815,GACHA17815,Tybee Pier,South Atlantic,GA,Chatham County,Atlantic Ocean,9.87,0.75,0,1
32.00605,-80.841933,NAVD88,Eric Frantz,17816,GACHA17816,6th Street Beach ,,GA,Chatham County,Atlantic Ocean,11,1.88,0,1
32.008259,-80.849398,NAVD88,Eric Frantz,17817,GACHA17817,6th Street culvert,,GA,Chatham County,Horse Pen Creek,6.92,2.2,0,0
32.008416,-80.852459,NAVD88,Eric Frantz,17818,GACHA17818,Marsh across from 171 South Campbell St,,GA,Chatham County,Unnamed tributary to Horse Pen Creek,7.08,2.04,0,0
32.018155,-80.850729,NAVD88,Eric Frantz,17820,GACHA17820,Hwy 80 at unnamed tidal creek,"Transects, South Atlantic",GA,Chatham County,Unknown tidal creek,6.99,2.13,0,0
32.020659,-80.898999,NAVD88,Eric Frantz,17824,GACHA17824,Fort Pulaski  ,South Atlantic,GA,Chatham County,South Channel Savannah River,9.12,0,0,0
32.003653,-80.960988,NAVD88,Eric Frantz,17838,GACHA17838,Bobwhite Rd,,GA,Chatham County,Unknown trib to Beard Creek,5.39,3.73,0,0
32.03515,-81.04504,NAVD88,Eric Frantz,17845,GACHA17845,Savannah Bend Marina,,GA,Chatham County,Wilmington River,8.14,0.98,0,0
32.09791,-81.09202,NAVD88,Eric Frantz,17850,GACHA17850,Hwy 17 bridge,South Atlantic,GA,Chatham County,Back River,8.55,0.57,0,0
31.95769,-81.01062,NAVD88,Eric Frantz,17861,GACHA17861,Landing Harbor Marina,,GA,Chatham County,Wilmington River,8.74,0.38,0,0
31.94677,-81.06678,NAVD88,Eric Frantz,17863,GACHA17863,Rodney Jay Hall Boat Ramp,,GA,Chatham County,Skidaway River,7.1,2.02,0,0
31.889711,-81.061614,NAVD88,Eric Frantz,17866,GACHA17866,Delegal Creek Marina,,GA,Chatham County,Delegal Creek,7.12,2,0,0
31.92868,-81.07017,NAVD88,Eric Frantz,17870,GACHA17870,Oakridge Golf Course.,,GA,Chatham County,Moon River,7.25,1.87,0,0
